Line 1,Line 2,Link
"2009年拳王泰森開始素食，拍葉問3時已經減重成功了！  ","Mike Tyson's weight loss and Vegan diet",http://rockhardphysique.blogspot.tw/2011/05/mike-tysons-weight-loss-and-vegan-diet.html?m=1
"影片：青花椰苗、苜蓿芽小芽菜抗癌效果佳","～ 芽菜可以自已種！",https://www.youtube.com/watch?v=OEuvSTrCx2Y&t=1875s
"整全蔬食指南：攝取原形蔬果、穀豆、種子和堅果等，","避免動物性食物、精製食品、添加糖與油，多選購在地有機農產品。",https://www.wfpblifestyle.org/guidelines
"Business Insider：生意差 美國紐約最大牛奶業者工廠倒閉，","改做全植物堅果奶 生意蒸蒸日上",https://www.businessinsider.com/dairy-farm-nut-milks-elmhurst-2017-4
"COWSPIRACY《奶牛陰謀：永遠不能說的秘密》","為何民眾不知道食用動物產品在氣候變遷中造成比全球運輸業更大的傷害？",http://www.godsdirectcontact.org.tw/ch/news/214/cowspiracy-veganism-is-vital-if-we-want-a-future-on-earth/
"IPCC報告：必須改變糧食生產及土地運用方式 -- ","應減少肉類消費以降低甲烷排放",https://www.theguardian.com/environment/2019/aug/03/ipcc-land-use-food-production-key-to-climate-crisis-leaked-report
"WHO: 火腿香腸...等加工肉品為1級致癌物，","與香菸同列1級「引發致癌」， 紅肉列2A級「可能致癌」",https://health.udn.com/health/story/6037/1274489
"【CNN】紐約市長亞當斯：我用蔬食逆轉了糖尿病，","現在我想幫助美國變得健康 ",https://edition.cnn.com/2022/09/27/opinions/america-diabetes-obesity-crises-eric-adams
"研究：對許多人來說，吃太多肉可能是迫於社會壓力　—","一個素食成員存在就能緩解這個社會壓力。",https://www.mdpi.com/2071-1050/11/14/3936
"九枚奧運金牌得主卡爾·劉易斯（Carl Lewis）：","全整蔬食大幅改善健康和運動表現",https://www.drmcdougall.com/health/education/podcast/carl-lewis/
"張學友靠這樣吃62歲沒小腹！","80歲名醫一吃就是40年",https://health.tvbs.com.tw/regimen/347019
"大豆三兄弟：","黃豆、黑豆、毛豆",http://www.foodnext.net/life/health2/paper/4739510750
"【TIME】【FORTUNE】緩解氣候暖化的關鍵：","為什麼你必須少吃點牛肉？",https://www.thenewslens.com/feature/timefortune/123620
"大導演卡麥隆及他的夫人為何採全整蔬食？","The Day My Food World Turned Upside Down-- by Suzy Amis Cameron",http://www.huffingtonpost.com/suzy-amis-cameron/the-day-my-food-world-turned-upside-down_b_7740468.html
"大導演卡麥隆自2012起採全整蔬食：","身材比二十多歲時更好、體能更好，免疫系統堅如磐石，好幾年沒有生病！",http://www.jamescamerononline.com/QAJAMESCAMERON.htm
"大導演卡麥隆的紀錄片《茹素的力量》The Game Changer","素食運動員打臉蛋白質神話",https://youtu.be/qO-67wHAxb8
"分析：來自畜牧業的溫室氣體排放可能佔 51%","Livestock and Climate Change: What if the key actors in climate change are...cows, pigs, and chickens?",http://magazine.godsdirectcontact.net/chinese-t/205/so_34.htm
"多菜少肉就對了！","科學家推出拯救世界的《地球健康飲食指南》",https://e-info.org.tw/node/216120
"健康永續的加拿大飲食指南：","奶類不是必需品",https://www.twvns.org/info/story/355-2019-02-01-01-41-01
"比爾．蓋茲也「潮」素食：","阿諾．史瓦辛格告訴你「茹素的力量」有多大！",https://vocus.cc/@lintingan/5df2ce99fd897800010e1597
"加工肉品 ","被 WHO 國際癌症研究機構列為１級致癌物",https://zh.wikipedia.org/wiki/1%E7%B1%BB%E8%87%B4%E7%99%8C%E7%89%A9
"加拿大健康飲食指南：","做官要敢於得罪大財團 (譚蕙芸)",https://www.facebook.com/wwviviantam/posts/2097788456976235/
"加拿大飲食指南 倡導植物性飲食：","研究顯示植物為主的飲食能減少一系列慢性病",https://healthmedia.com.tw/main_detail.php?id=42114
"加拿大健康飲食指南 ─","為什麼牛奶類、純果汁出局？",https://www.commonhealth.com.tw/article/79125
"加拿大食物指南：植物性飲食有益健康，","餐盤的一半是植物和水果，¼是蛋白質，蛋白質的來源以豆類為主，肉類份量很小",https://healthylives.tw/Article/pq3fUTLscnG.html
"奶農正在將土地轉換為杏仁叢林！","It's Finally Happening … Dairy Farmers Are Converting Land to Almond Groves!",http://www.onegreenplanet.org/news/dairy-farmers-are-converting-land-to-almond-groves/
"蔬菜很健康，但用錯烹煮方法，吃再多也沒用！","水炒法保留更多營養素，最後才放油，不產生油煙，油也不會裂變",https://today.line.me/tw/v2/article/EXvGYRR
"吃素也能練就大塊頭：尼邁·德爾加多（Nimai Delgado）","來自印度的健體選手、機械工程師",https://kknews.cc/zh-tw/world/r5yky94.html
"健體選手尼邁·德爾加多（Nimai Delgado）","植物性飲食成就了我 -- 它也能改變你人生 | Talks at Google",https://youtu.be/e-VNXCSGgsg
"吃素便便順了 ","- 養生從食開始",http://health.udn.com/health/story/6037/1949559
"《非藥而癒》一場席捲全球的餐桌革命 ─ ","重要的不是吃什麼，而是不吃什麼！",https://www.books.com.tw/products/0010905361
"《飲食密碼》-醫療科技進步，為何人類離健康卻越來越遠？","面對癌症、慢性病，你所能做的，就是「植物性飲食」！",http://www.wunan.com.tw/bookdetail.asp?no=10939
"《關鍵飲食》","- 黃建勳醫師等31位醫學專家與營養師合著",http://www.wunan.com.tw/bookdetail.asp?no=10688
"加拿大健康飲食指南：蔬果類½，蛋白質類¼，全穀類¼，多喝水，","吃原型食物，所有入口的東西都要三思",https://www.canada.ca/en/health-canada/services/canada-food-guide/resources/snapshot/languages/traditional-chinese-chinois-traditionnel.html
"好壞難辨的營養成分 ── 甲硫氨酸 (蛋胺酸) ","林佑《醫．藥．人》 第 171 期",http://www.3phk.com/v5article.asp?id=3220
"如何預防糖尿病？","How Not to Die from Diabetes",https://nutritionfacts.org/2019/10/08/how-not-to-die-from-diabetes/
"成為素食者並練出一身肌肉，","這位帥哥到底經歷了什麼？",https://kknews.cc/news/2m8yjk9.html
"良好的飲食不僅能變美，還能改變命運！","植物性飲食改變人生的故事、素食藝人",https://kknews.cc/health/j4b39ql.html
"乳製品與前列腺癌有關，","植物性飲食降低了風險",https://www.newsweek.com/eating-dairy-products-prostate-cancer-plant-based-diets-risk-1466662
"所有蛋白質都源自植物，","肉類只是擔當橋樑的角色",https://bit.ly/3bDMfkI
"阿凡達大導演卡麥隆：","植物性飲食才是真正的環保！",https://kknews.cc/entertainment/9yo6r4b.html
"保健食品與藥物並用，恐危害健康：","服用抗生素期間 益生菌吃了也是白吃；免疫力差者增加感染風險",https://health.udn.com/health/story/6034/2441454?f=fcmpush
"牛奶、謊言與內幕（三版）","科學證據說明過多牛奶加速骨質疏鬆、糖尿病、過敏，以及多種癌症",https://www.books.com.tw/products/0010836426
"研究：多菜、少肉，兼顧個人健康與環境永續","EAT–Lancet Commission on healthy diets from sustainable food systems",https://www.thelancet.com/commissions/EAT
"研究：大幅生活型態改變可影響前列腺癌的進展 ","Intensive Lifestyle changes may affect the progression of prostate cancer",https://doi.org/10.1097/01.ju.0000169487.49018.73
"研究：心絞痛  ","採用植物性飲食快速改善",https://doi.org/10.1016/S0002-8703(77)80080-X
"研究：水果或蔬菜攝取與非酒精性脂肪肝無關聯 ","No association between fruits or vegetables and non-alcoholic fatty liver disease in middle-aged men and women",https://doi.org/10.1016/j.nut.2018.10.016
