Category,Food Name,Alternative Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g),Fibre (g),Sugar (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Vitamin A(RE) (ug),β-Carotene (ug),Vitamin E(α-TE) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),MUFA (mg),PUFA (mg),LA (mg),ALA (mg),Thr (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Trp (mg),Trans Fat (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Fat%,Protein%,Alcohol%
穀物類,"大麥仁","小薏仁,洋薏仁,珍珠薏仁 Barley",364.6228,77.1418,8.5578,1.5935,11.6693,1.0376,8.4591,0.425,12.6115,249.1658,25.88,54.4337,1.7745,1.228,164.6799,0.2199,0,0,0.4737,0.1663,0.0323,3.3286,0.1827,0,49.5718,0.15,467.252444,165.077039,945.515973,890.57528,54.940693,274.6759,225.0715,404.8026,66.2403,283.7671,587.3824,244.5697,422.8116,288.1291,233.3535,93.4647,0,0,,364.622809,0.871652042,0.036579157,0.091768801,
穀物類,"大麥片"," Barley flake; Barley chip",364.6155,76.6666,8.636,1.79,12.09,0.8174,5.9987,,7.185,245.965,12.665,55.185,2.245,0.826,129.095,,0,0,0.1334,0.149,0.035,3.225,0.1826,,27.7,9.82,455.78233,307.78155,1026.42717,963.16499,63.26218,287.615,351.4586,427.17,106.265,330.845,653.915,276.395,473.57,311.6,200.565,43.84,,,,364.615452,0.866300071,0.041090689,0.09260924,
穀物類,"大麥仁粉","小薏仁粉,洋薏仁粉,珍珠薏仁粉 Barley flour",388.8475,84.9554,7.118,1.3142,5.733,0.8794,7.2048,0,9.83,307.271,25.2358,49.8125,1.145,1.333,165.699,,0,0,0.0831,0.09,0.031,2.853,0.229,,44.673,0,367.84458,220.85131,725.530394,683.58113,41.949264,272.268,148.363,431.049,116.97,319.158,640.176,251.366,431.829,269.083,183.864,138.92,,,,388.847482,0.900137623,0.028288351,0.071574027,
穀物類,"小米"," Foxtail-millet; Millet",370.1938,71.6907,11.3135,3.655,12.26,1.0808,2.2226,,1,201.92,4.795,107.75,2.89,2.2825,164.29,,0,0,0.1971,0.455,0.11,4.145,0.3249,,45.15,0.15,441.600755,826.41743,2386.967195,2352.076565,34.89063,311.17,264.8201,461.765,231.605,403.275,771.795,366.83,545.75,146.685,214.705,160.47,,,,370.193819,0.797867681,0.082638738,0.119493581,
穀物類,"糯小米"," Glutinous foxtail-millet; Glutinous millet",360.1972,72.5162,12.465,1.5164,12.864,0.6384,1.4293,0,1.206,142.4715,8.598,47.8325,2.2355,2.0345,107.5975,,9.565,57.3785,0.0731,0.168,0.0597,2.1692,0.1932,,28.4795,0.5,256.5172568,341.2339756,918.248438,900.7658624,17.4825756,293.486,226.668,505.9465,132.8125,479.274,1615.3075,398.627,638.314,127.381,233.068,179.2785,,,,360.197162,0.829453354,0.035237002,0.135309645,
穀物類,"小麥"," Wheat",361.6418,69.1678,14.118,2.565,12.63,1.5192,11.2724,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,0,0,1.7096,0.411,0.095,5.39,0.2655,,73.3,5.115,466.719705,458.080785,1640.196945,1526.32377,113.873175,426.415,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,0,,,,361.641766,0.787993431,0.059365516,0.152641053,
穀物類,"小麥胚芽"," Wheat germ",417.0033,47.9154,31.362,11.585,4.23,4.9076,9.98,,3.115,986.125,44.98,333.04,6.005,14.946,1172.745,,2.9039,17.42,16.081,2.437,0.5195,4.0205,1.4018,,329.295,0,1734.7379,1869.506205,7989.583665,7141.17936,848.404305,1234.72,1411.5389,1472.785,393.06,991.185,1994.645,832.6,1080.48,1995.715,778.77,321.12,,,,417.003318,0.473404981,0.232531603,0.294063416,
穀物類,"去筋麵粉","澄粉 Non-glutinous flour",354.9493,85.7443,0.181,0.1165,13.643,0.3152,0.4484,0,28.606,9.027,6.5847,2.3713,0,0,38.2861,,0,0,0.0201,0.01,0,0.097,0.023,,17.209,0,0,0,0,0,0,,,,,,,,,,,,,,,354.949331,0.995258999,0.002747167,0.001993834,
穀物類,"低筋麵粉"," Low-gluten flour; Cake flour; Patent flour",363.6075,78.1938,8.0855,1.175,12.045,0.5007,1.9804,,1.43,147.535,12.38,26.44,1.19,0.599,74.845,,0,0,0.5117,0.1695,0.035,0.875,0.0746,,40,5.11,245.7865,178.9243,750.28215,706.16325,44.1189,247.48,329.1621,376.135,43.24,298.95,596.685,215.065,381.98,207.56,198.49,55.5,,,,363.607511,0.886006054,0.027047709,0.086946237,
穀物類,"中筋麵粉"," Medium-gluten flour; Wheat flour: medium protein",361.0283,74.0972,11.4535,1.31,12.635,0.5043,1.8165,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,0,0,0.349,0.123,0.075,1.01,0.0818,,43.8,5.08,276.26066,211.36588,822.3656,777.21907,45.14653,335.34,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,0,,,,361.028349,0.845585852,0.030370745,0.124043403,
