Category,Food Name,Alternative Name,Chinese Terms,English Terms
穀物類,"大麥仁","小薏仁,洋薏仁,珍珠薏仁 Barley",穀物類 谷物类 大麥仁 小薏仁 洋薏仁 珍珠薏仁 大麦仁,barley kernel
穀物類,"大麥片"," Barley flake; Barley chip",穀物類 谷物类 大麥片 大麦片,barley flake chip flakes
穀物類,"大麥仁粉","小薏仁粉,洋薏仁粉,珍珠薏仁粉 Barley flour",穀物類 谷物类 大麥仁粉 小薏仁粉 洋薏仁粉 珍珠薏仁粉 大麦仁粉,barley flour kernel
穀物類,"小米"," Foxtail-millet; Millet",穀物類 谷物类 小米,foxtail millet
穀物類,"糯小米"," Glutinous foxtail-millet; Glutinous millet",穀物類 谷物类 糯小米,glutinous foxtail millet
穀物類,"小麥"," Wheat",穀物類 谷物类 小麥 小麦,wheat
穀物類,"小麥胚芽"," Wheat germ",穀物類 谷物类 小麥胚芽 小麦胚芽,wheat germ
穀物類,"去筋麵粉","澄粉 Non-glutinous flour",穀物類 谷物类 去筋面粉 澄粉,non glutinous flour gluten-free
穀物類,"低筋麵粉"," Low-gluten flour; Cake flour; Patent flour",穀物類 谷物类 低筋面粉,low gluten flour cake patent
穀物類,"中筋麵粉"," Medium-gluten flour; Wheat flour: medium protein",穀物類 谷物类 中筋面粉,medium gluten flour wheat protein all-purpose
穀物類,"高筋麵粉"," High-gluten flour; Seat of honor flour",穀物類 谷物类 高筋面粉,high gluten flour seat of honor
穀物類,"高筋麵粉(2021年取樣)","強力粉 High-gluten flour; Seat of honor flour",穀物類 谷物类 高筋面粉 年取樣 強力粉 年取样 强力粉,high gluten flour seat of honor high-gluten (sampled in 2021)
穀物類,"全麥麵粉"," Whole wheat flour",穀物類 谷物类 全麥面粉 全麦面粉,whole wheat flour
穀物類,"雜糧中筋麵粉"," Medium-gluten multigrain flour",穀物類 谷物类 雜糧中筋面粉 杂粮中筋面粉,medium gluten multigrain flour all purpose
穀物類,"雜糧高筋麵粉"," High-gluten multigrain flour",穀物類 谷物类 雜糧高筋面粉 杂粮高筋面粉,high gluten multigrain flour
穀物類,"白玉米"," White corn",穀物類 谷物类 白玉米,white corn
穀物類,"紫玉米"," Corn; Maize",穀物類 谷物类 紫玉米,corn maize purple
穀物類,"甜玉米","玉米,黃玉米 Corn; Maize; Sweat corn",穀物類 谷物类 甜玉米 黃玉米 黄玉米,corn maize sweat sweet
穀物類,"雙色水果玉米","玉米,黃玉米 Corn; Maize; Sweat corn (Organic)",穀物類 谷物类 雙色水果玉米 黃玉米 双色水果玉米 黄玉米,corn maize sweat organic bicolor fruit
穀物類,"糯玉米"," Corn; Maize",穀物類 谷物类 糯玉米,corn maize glutinous
穀物類,"冷凍玉米粒"," Corn kernal; Maize kernal; Sweat whole kernal corn",穀物類 谷物类 冷凍玉米粒 冷冻玉米粒,corn kernal maize sweat whole frozen kernels
穀物類,"乾玉米粒"," Corn kernal; Maize kernal; for popcorn",穀物類 谷物类 乾玉米粒 干玉米粒 干玉米粒,corn kernal maize for popcorn dried kernels
穀物類,"玉米胚芽","玉米仁,珍珠米 Corn germ",穀物類 谷物类 玉米胚芽 玉米仁 珍珠米,corn germ
穀物類,"玉米粉"," Corn starch; Maize starch",穀物類 谷物类 玉米粉,corn starch maize flour
穀物類,"秈米平均值","在來米,長米 Long grain rice",穀物類 谷物类 秈米平均值 在來米 長米 籼米平均值 在来米 长米,long grain rice average value of indica
穀物類,"秈米(台中在來2號)","在來米,長米 Long grain rice",穀物類 谷物类 秈米 台中在來 號 在來米 長米 籼米 台中在来 号 在来米 长米,long grain rice indica (taichung zaila no. 2)
穀物類,"秈米(台中秈10號)","在來米,長米 Long grain rice",穀物類 谷物类 秈米 台中秈 號 在來米 長米 籼米 台中籼 号 在来米 长米,long grain rice indica (taichung no. 10)
穀物類,"秈米(台中秈10號)(2024年取樣)","在來米,長米 Long grain rice",穀物類 谷物类 秈米 台中秈 號 年取樣 在來米 長米 籼米 台中籼 号 年取样 在来米 长米,long grain rice indica (taichung no. 10) (sampled 2024)
