Category,Food Name,熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),視網醇當量(RE)(ug),β-胡蘿蔔素(ug),α-維生素E當量(α-TE)(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),脂肪酸M總量(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),其他脂肪酸(mg),反式脂肪(mg),酥胺酸(Thr),胱胺酸(Cys),纈胺酸(Val),甲硫胺酸(Met),異白胺酸(Ile),白胺酸(Leu),酪胺酸(Tyr),苯丙胺酸(Phe),離胺酸(Lys),組胺酸(His),精胺酸(Arg),色胺酸(Trp),膽固醇(mg),酒精含量(g),醣類熱量%,脂肪熱量%,蛋白質熱量%,酒精熱量%
穀物類,"大麥仁",364.6228,11.6693,8.5578,1.5935,0.4673,1.0376,77.1418,8.4591,0.425,0,0.0395,0,0.036,0.3495,0,12.6115,249.1658,25.88,54.4337,1.7745,1.228,164.6799,0.2199,0,0,0.4737,0.1663,0.0323,3.3286,0.1827,0,49.5718,0.15,467.252444,165.077039,945.515973,890.57528,54.940693,15.6402025,0,274.6759,225.0715,404.8026,66.2403,283.7671,587.3824,244.5697,422.8116,288.1291,233.3535,381.1231,93.4647,0,,87.16520419,3.657915707,9.1768801,
穀物類,"大麥片",364.6155,12.09,8.636,1.79,0.4558,0.8174,76.6666,5.9987,,,,,,,,7.185,245.965,12.665,55.185,2.245,0.826,129.095,,0,0,0.1334,0.149,0.035,3.225,0.1826,,27.7,9.82,455.78233,307.78155,1026.42717,963.16499,63.26218,0,,287.615,351.4586,427.17,106.265,330.845,653.915,276.395,473.57,311.6,200.565,422.145,43.84,,,86.63000711,4.109068861,9.260924027,
穀物類,"大麥仁粉",388.8475,5.733,7.118,1.3142,0.3678,0.8794,84.9554,7.2048,0,0,0,,0,0,0,9.83,307.271,25.2358,49.8125,1.145,1.333,165.699,,0,0,0.0831,0.09,0.031,2.853,0.229,,44.673,0,367.84458,220.85131,725.530394,683.58113,41.949264,0,,272.268,148.363,431.049,116.97,319.158,640.176,251.366,431.829,269.083,183.864,346.547,138.92,,,90.01376226,2.828835086,7.157402655,
穀物類,"小米",370.1938,12.26,11.3135,3.655,0.4416,1.0808,71.6907,2.2226,,,,,,,,1,201.92,4.795,107.75,2.89,2.2825,164.29,,0,0,0.1971,0.455,0.11,4.145,0.3249,,45.15,0.15,441.600755,826.41743,2386.967195,2352.076565,34.89063,0,,311.17,264.8201,461.765,231.605,403.275,771.795,366.83,545.75,146.685,214.705,330.945,160.47,,,79.78676813,8.263873795,11.94935807,
穀物類,"糯小米",360.1972,12.864,12.465,1.5164,0.2565,0.6384,72.5162,1.4293,0,0,0,,0,0,0,1.206,142.4715,8.598,47.8325,2.2355,2.0345,107.5975,,9.565,57.3785,0.0731,0.168,0.0597,2.1692,0.1932,,28.4795,0.5,256.5172568,341.2339756,918.248438,900.7658624,17.4825756,0.401846,,293.486,226.668,505.9465,132.8125,479.274,1615.3075,398.627,638.314,127.381,233.068,270.7245,179.2785,,,82.94533537,3.523700167,13.53096447,
穀物類,"小麥",361.6418,12.63,14.118,2.565,0.4667,1.5192,69.1678,11.2724,,,,,,,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,0,0,1.7096,0.411,0.095,5.39,0.2655,,73.3,5.115,466.719705,458.080785,1640.196945,1526.32377,113.873175,0,,426.415,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,669.325,0,,,78.7993431,5.936551587,15.26410531,
穀物類,"小麥胚芽",417.0033,4.23,31.362,11.585,1.7347,4.9076,47.9154,9.98,,,,,,,,3.115,986.125,44.98,333.04,6.005,14.946,1172.745,,2.9039,17.42,16.081,2.437,0.5195,4.0205,1.4018,,329.295,0,1734.7379,1869.506205,7989.583665,7141.17936,848.404305,0,,1234.72,1411.5389,1472.785,393.06,991.185,1994.645,832.6,1080.48,1995.715,778.77,2619.56,321.12,,,47.34049814,23.2531603,29.40634156,
穀物類,"去筋麵粉",354.9493,13.643,0.181,0.1165,0,0.3152,85.7443,0.4484,0,0,0,,0,0,0,28.606,9.027,6.5847,2.3713,0,0,38.2861,,0,0,0.0201,0.01,0,0.097,0.023,,17.209,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.52589994,0.274716675,0.199383387,
穀物類,"低筋麵粉",363.6075,12.045,8.0855,1.175,0.2458,0.5007,78.1938,1.9804,,,,,,,,1.43,147.535,12.38,26.44,1.19,0.599,74.845,,0,0,0.5117,0.1695,0.035,0.875,0.0746,,40,5.11,245.7865,178.9243,750.28215,706.16325,44.1189,0,,247.48,329.1621,376.135,43.24,298.95,596.685,215.065,381.98,207.56,198.49,321.53,55.5,,,88.60060539,2.704770859,8.694623748,
穀物類,"中筋麵粉",361.0283,12.635,11.4535,1.31,0.2763,0.5043,74.0972,1.8165,,,,,,,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,0,0,0.349,0.123,0.075,1.01,0.0818,,43.8,5.08,276.26066,211.36588,822.3656,777.21907,45.14653,0,,335.34,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,474.315,0,,,84.55858518,3.037074521,12.4043403,
